Date,Open,High,Low,Close,Volume
2016-06-06 13:59,7.260000,7.26,7.26,7.260000,3381897
2016-06-06 14:00,7.260000,7.26,7.26,7.260000,3381897
2016-06-06 14:01,7.260000,7.26,7.26,7.260000,3381897
2016-06-06 14:02,7.260000,7.26,7.26,7.260000,0
2016-06-06 14:03,7.260000,7.26,7.26,7.260000,0
2016-06-06 14:04,7.260000,7.26,7.26,7.260000,0
2016-06-06 14:05,7.260000,7.26,7.26,7.260000,0
2016-06-06 14:06,7.260000,7.26,7.26,7.260000,0
2016-06-06 14:07,7.260000,7.26,7.26,7.260000,0
2016-06-06 14:08,7.260000,7.26,7.26,7.260000,0
2016-06-06 14:09,7.260000,7.26,7.26,7.260000,0
2016-06-06 14:10,7.260000,7.26,7.26,7.260000,0
2016-06-06 14:11,7.260000,7.26,7.26,7.260000,0
2016-06-06 14:12,7.260000,7.26,7.26,7.260000,0
2016-06-06 14:13,7.260000,7.26,7.26,7.260000,0
2016-06-06 14:14,7.260000,7.26,7.26,7.260000,0
2016-06-06 14:15,7.260000,7.26,7.26,7.260000,0
2016-06-06 14:16,7.260000,7.26,7.26,7.260000,0
2016-06-06 14:17,7.260000,7.26,7.26,7.260000,0
2016-06-06 14:18,7.260000,7.26,7.26,7.260000,0
2016-06-06 14:19,7.260000,7.26,7.26,7.260000,0
2016-06-06 14:20,7.260000,7.26,7.26,7.260000,0
2016-06-06 14:21,7.260000,7.26,7.26,7.260000,0
2016-06-06 14:22,7.260000,7.26,7.26,7.260000,0
2016-06-06 14:23,7.260000,7.26,7.26,7.260000,0
2016-06-06 14:24,7.260000,7.26,7.26,7.260000,12
2016-06-06 14:25,7.260000,7.26,7.26,7.260000,12
2016-06-06 14:26,7.260000,7.26,7.26,7.260000,12
2016-06-06 14:27,7.260000,7.26,7.26,7.260000,12
2016-06-06 14:28,7.260000,7.26,7.26,7.260000,12
2016-06-06 14:29,7.260000,7.26,7.26,7.260000,12
2016-06-06 14:30,7.260000,7.29,7.26,7.260000,24
2016-06-06 14:31,7.260000,7.29,7.26,7.280000,24
2016-06-06 14:32,7.280000,7.29,7.27,7.280000,34673
2016-06-06 14:33,7.280000,7.2901,7.2665,7.290100,83367
2016-06-06 14:34,7.290100,7.2901,7.28,7.290100,104165
2016-06-06 14:35,7.290100,7.2901,7.29,7.290100,118989
2016-06-06 14:36,7.290100,7.2901,7.27,7.270000,118989
2016-06-06 14:37,7.270000,7.28,7.27,7.280000,133046
2016-06-06 14:38,7.280000,7.29,7.27,7.290000,145249
2016-06-06 14:39,7.280100,7.29,7.26,7.270000,147749
2016-06-06 14:40,7.270000,7.27,7.26,7.263800,168706
2016-06-06 14:41,7.263800,7.27,7.2638,7.270000,175727
2016-06-06 14:42,7.265000,7.27,7.265,7.270000,176327
2016-06-06 14:43,7.270000,7.27,7.263,7.269200,182777
2016-06-06 14:44,7.269200,7.28,7.263,7.270000,187877
2016-06-06 14:45,7.280000,7.28,7.27,7.280000,204502
2016-06-06 14:46,7.280000,7.2975,7.27,7.290000,210109
2016-06-06 14:47,7.290000,7.2975,7.29,7.297500,218313
2016-06-06 14:48,7.297500,7.2975,7.295,7.295000,219563
2016-06-06 14:49,7.295000,7.31,7.2888,7.288800,233163
2016-06-06 14:50,7.310000,7.32,7.2888,7.320000,239425
2016-06-06 14:51,7.320000,7.325,7.31,7.325000,258189
2016-06-06 14:52,7.325000,7.3295,7.32,7.322500,261689
2016-06-06 14:53,7.322500,7.3225,7.305,7.305000,268649
2016-06-06 14:54,7.305000,7.3141,7.3,7.314100,285879
2016-06-06 14:55,7.310000,7.3141,7.3,7.310000,293445
2016-06-06 14:56,7.310000,7.32,7.31,7.320000,310810
2016-06-06 14:57,7.329900,7.33,7.32,7.320000,318038
2016-06-06 14:58,7.320000,7.32,7.32,7.320000,323938
2016-06-06 14:59,7.320000,7.3298,7.32,7.329800,325148
2016-06-06 15:00,7.329800,7.3298,7.32,7.321000,336638
2016-06-06 15:01,7.321000,7.321,7.32,7.320000,338351
2016-06-06 15:02,7.320000,7.325,7.32,7.323000,341837
2016-06-06 15:03,7.323000,7.325,7.32,7.320000,342237
2016-06-06 15:04,7.320000,7.33,7.32,7.330000,348352
2016-06-06 15:05,7.330000,7.33,7.32,7.330000,348452
2016-06-06 15:06,7.330000,7.33,7.3201,7.325000,348452
2016-06-06 15:07,7.320100,7.325,7.32,7.325000,353444
2016-06-06 15:08,7.325000,7.33,7.32,7.330000,353644
2016-06-06 15:09,7.330000,7.33,7.33,7.330000,355844
2016-06-06 15:10,7.330000,7.34,7.33,7.340000,355844
2016-06-06 15:11,7.340000,7.34,7.34,7.340000,404186
2016-06-06 15:12,7.340000,7.34,7.33,7.340000,404407
2016-06-06 15:13,7.340000,7.34,7.335,7.336600,419727
2016-06-06 15:14,7.336600,7.3366,7.335,7.335000,421007
2016-06-06 15:15,7.336600,7.34,7.335,7.340000,421007
2016-06-06 15:16,7.340000,7.34,7.34,7.340000,423107
2016-06-06 15:17,7.340000,7.34,7.34,7.340000,432107
2016-06-06 15:18,7.340000,7.34,7.34,7.340000,433763
2016-06-06 15:19,7.340000,7.35,7.34,7.350000,433763
2016-06-06 15:20,7.350000,7.36,7.345,7.360000,436279
2016-06-06 15:21,7.360000,7.36,7.35,7.355000,514518
2016-06-06 15:22,7.350000,7.355,7.3494,7.349900,516097
2016-06-06 15:23,7.349900,7.3499,7.3499,7.349900,541532
2016-06-06 15:24,7.349900,7.3615,7.3499,7.360000,541532
2016-06-06 15:25,7.360000,7.3615,7.3497,7.349700,548873
2016-06-06 15:26,7.349700,7.37,7.3497,7.370000,550973
2016-06-06 15:27,7.375000,7.377,7.37,7.370000,554724
2016-06-06 15:28,7.370000,7.37,7.3601,7.360100,559424
2016-06-06 15:29,7.360100,7.3695,7.3601,7.366200,565512
2016-06-06 15:30,7.366200,7.37,7.3662,7.370000,566964
2016-06-06 15:31,7.366200,7.37,7.365,7.370000,566964
2016-06-06 15:32,7.370000,7.37,7.37,7.370000,577657
2016-06-06 15:33,7.370000,7.37,7.36,7.360000,577657
2016-06-06 15:34,7.360000,7.36,7.36,7.360000,613633
2016-06-06 15:35,7.360000,7.36,7.36,7.360000,617348
2016-06-06 15:36,7.360000,7.37,7.36,7.360000,617348
2016-06-06 15:37,7.360000,7.37,7.36,7.365000,617348
2016-06-06 15:38,7.369900,7.3699,7.3601,7.360100,620033
2016-06-06 15:39,7.360100,7.365,7.3601,7.365000,620713
2016-06-06 15:40,7.365000,7.365,7.3501,7.350100,621113
2016-06-06 15:41,7.350100,7.3501,7.3501,7.350100,632132
2016-06-06 15:42,7.350100,7.3501,7.3501,7.350100,632132
2016-06-06 15:43,7.350100,7.3585,7.3501,7.358500,632132
2016-06-06 15:44,7.358500,7.3585,7.3585,7.358500,632482
2016-06-06 15:45,7.358500,7.3585,7.35,7.350000,632482
2016-06-06 15:46,7.350000,7.35,7.35,7.350000,645537
2016-06-06 15:47,7.350000,7.35,7.35,7.350000,645856
2016-06-06 15:48,7.350000,7.35,7.3465,7.350000,648268
2016-06-06 15:49,7.350000,7.35,7.34,7.340000,648268
2016-06-06 15:50,7.340000,7.345,7.34,7.340000,667202
2016-06-06 15:51,7.340000,7.345,7.34,7.345000,667202
2016-06-06 15:52,7.345000,7.345,7.345,7.345000,674952
2016-06-06 15:53,7.345000,7.35,7.34,7.350000,676752
2016-06-06 15:54,7.350000,7.35,7.34,7.350000,682652
2016-06-06 15:55,7.350000,7.35,7.35,7.350000,684958
2016-06-06 15:56,7.350000,7.357,7.35,7.355000,684958
2016-06-06 15:57,7.355000,7.3599,7.355,7.359900,685463
2016-06-06 15:58,7.359900,7.36,7.355,7.359900,686429
2016-06-06 15:59,7.359900,7.36,7.3599,7.360000,686429
2016-06-06 16:00,7.360000,7.36,7.36,7.360000,686529
2016-06-06 16:01,7.360000,7.36,7.36,7.360000,700029
2016-06-06 16:02,7.360000,7.36,7.36,7.360000,706614
2016-06-06 16:03,7.360000,7.365,7.36,7.365000,706614
2016-06-06 16:04,7.365000,7.365,7.365,7.365000,707499
2016-06-06 16:05,7.365000,7.365,7.365,7.365000,707499
2016-06-06 16:06,7.365000,7.365,7.3607,7.365000,707499
2016-06-06 16:07,7.365000,7.37,7.3607,7.370000,710916
2016-06-06 16:08,7.370000,7.37,7.365,7.370000,712290
2016-06-06 16:09,7.370000,7.37,7.37,7.370000,712290
2016-06-06 16:10,7.370000,7.37,7.36,7.360000,716690
2016-06-06 16:11,7.360000,7.3665,7.36,7.360000,718248
2016-06-06 16:12,7.360000,7.3665,7.36,7.365000,718248
2016-06-06 16:13,7.370000,7.37,7.3636,7.365000,716690
2016-06-06 16:14,7.370000,7.37,7.3636,7.370000,720657
2016-06-06 16:15,7.370000,7.37,7.37,7.370000,721957
2016-06-06 16:16,7.370000,7.37,7.365,7.365000,721957
2016-06-06 16:17,7.365000,7.365,7.365,7.365000,751983
